start	end	text
13970	18290	So, ich lade die Bilder gerade runter und kann das parallel hoffentlich machen.
25700	36900	Jaja. Gut, ähm, wo waren wir denn letztes Mal? Muss ich selbst mal überlegen.
43200	72300	Stimmt, genau, ihr hattet, ja, also zunächst mal überrascht und dann sicherlich enttäuscht, genau.
72300	117800	Gut, genau. Das heißt, ihr seid, habt ihr ihm den Sichtschutz schon runtergezogen? Gut, das heißt, ihr fahrt in die Turbot rein.
118580	130440	Nach wie vor ist er, ja, fragt immer wieder nach, wohin es denn jetzt geht.
130680	132940	Aber genau, ihr kommt rein.
190990	194910	Martin, ich habe Komaru aktualisiert, müsste jetzt schon klappen.
198380	202820	Gut, also ihr seid auf der Turbot.
203100	204600	Gehen wir mal zusammen dorthin.
206200	209280	Hast du ihm jetzt das Ding vom Kopf genommen?
242010	267130	Du kannst mal einen Perception-Wurf machen. Du kannst das versuchen. Du hast den Eindruck, der wird ein bisschen weniger hektisch. Er schaut sich um, er mustert das Ganze und scheint sich so ein bisschen zu beruhigen.
267130	284500	Ah, gut, ihr bringt mich raus. Er setzt sich an die Bar. Was habt ihr hier? Er muss ja so ein bisschen diesen Stuhl hochklettern, der ist ja recht klein. Aber wir sollten...
284500	313970	Na, ich war's lange genug bei denen da drin. Ich möchte was mit Alkohol. Ich möchte was ordentliches. Und dann sollten wir bald loslegen. Ich bin schon viel zu lange auf diesem verdreckten Planeten.
313970	362040	Wohlfällen.
369730	370470	Kran, genau.
391060	402850	19.
410320	411920	Also du weißt
411920	414280	nichts Spezifisches
414280	415520	über die.
416180	418360	Wenn du dich dran erinnerst,
419380	420480	also du hast bestimmt
420480	422520	schon mal Kran, jetzt ist es nicht so,
422560	423580	dass man die so oft sieht,
424320	426520	aber
426520	428300	du hast die sicherlich schon mal
428300	430000	in den Kran auch in der
430000	430960	Kantina gesehen.
432600	434040	Und die wäre da nie etwas
434040	441180	aufgefallen, also weder das bekannt wäre, dass die abstinent oder sowas seien, noch das Gegenteil.
