start	end	text
195600	601720	Nee, ich sehe bislang noch nichts. Ja, oh ja. Also ich würde, wenn ich dieses Signal höre, ich denke, wir haben uns in den letzten Tagen auch schon ein bisschen eingespielt, wenn ich vor allem mitbekomme, dass er gerade am Steuer ist, dann werde ich zum Geschützturm schnell laufen, da hochklettern.
601720	610700	Das ist ja, glaube ich, in der Mitte, dann kann man ja hoch und mich dort positionieren und dort erstmal versuchen, einen Überblick zu bekommen, was hier eigentlich gerade passiert.
619940	730230	Ja. Hi!
730770	771320	Haben wir das schon mal irgendwo gesehen?
776430	776830	Okay.
1305480	1456250	17, jetzt muss ich ganz
1456250	1458850	kurz gucken.
1459330	1461050	Der Charakterbogen ist noch nicht ganz fertig,
1461350	1463490	aber das müssten...
1463490	1464650	Ja, okay, dann...
1464650	1467070	Also ich müsste auf 20 kommen, wenn ich es gerade richtig
1467070	1468070	habe.
1595380	1596440	Nur noch mal zu verständen.
1596600	1598520	Also die Torpedos, die kamen
1598520	1601100	zu den Imperialen.
1601100	1601940	Genau, gut.
1601940	1686750	Ja, die dann eigentlich würde ich gerne über den Bordfunk zumindest funken.
1689680	1693440	Die Macht ist stark dort draußen auf der Seite der schwarzen Sonne.
2118900	2124440	Haben wir zumindest optisch irgendwelche Anzeichen von orbitalem Verteidigungssystem?
2125400	2129200	Irgendwelche Satelliten, irgendwas? Gar nicht zu sehen.
2160830	2163170	Bei mir müssen es 13 oder 14 sein, ja.
2520160	2625220	Dessen Name habe ich gerade auf der imperialen Seite gehört, ja.
2636220	2638200	Ich funke in die Brücke.
2638740	2640780	Wissen wir, von welchem Schiff kam diese Stimme?
2647830	2648650	Gucken wir raus.
2648750	2651150	Wie ist jetzt die Situation des Sternenzerstörers?
2651590	2652650	Der wurde angegriffen.
2654110	2682500	Ich meine, wir sind doch hier, also im Vergleich, eine Fliege zwischen zwei Titanen irgendwie.
2684720	2687040	Oder wie muss ich mir so die Größen einschätzen?
2712420	2713200	So ein Splitter.
2732480	2733200	So ein klassischer.
2742260	2743320	Weil es rammt.
2743320	2801440	Sagst du mir nochmal kurz den Namen dieses Commanders?
2803100	2803820	Are...
2803820	2810100	Ja, Han Ares, okay.
2826700	2828420	Ich, ähm...
2828420	2833340	Die anderen merken, dass ein Funkspruch, sozusagen, dass der Kanal geöffnet wird.
2834320	2836520	Und dann kommt wahrscheinlich erstmal nur Rauschen.
2837580	2843040	Eine brüchige Stimme, die sich zusammen scheint.
2843040	2846790	Und wir müssen uns Han Ares schnappen.
2847170	2961910	Was soll das heißen? Er ist der Mörder von Anaxes. Ante Anaxes. Geht ja nicht, der hat einen ganzen Planeten auf seinem Gewissen. Das müssen wir verhindern. Der Transponder, genau. Ich habe gerade auch die ganze Zeit überlegt.
2961910	3064270	Nein, komme ich ganz knapp nicht drauf.
3140030	3141090	Nein, oh, ganz schlecht.
3142430	3157630	Wobei, vielleicht ganz kurz dazu, also in dem Moment, in dem ich mitbekomme, wer da bei den Imperialen ist, lasse ich mich auch, muss ich gar nicht so verführt werden, auf die TIE Fighter zu schießen.
3185120	3359720	Wir müssen Ares aufhalten, Menschen.
3359720	3468090	Ich hätte noch mal eine Frage bei diesem Einfluss. Das muss ja verdammt weit weg sein. Wir sprechen ja hier von Hunderten, Tausenden, wie auch immer Kilometern, die da zwischen uns sind. Spüre ich in irgendeiner Form die Farbe, die Schattierung der Macht? Ist es eine Überzeugung? Gibt es da irgendwas?
3497950	3552030	Ja, ich rufe im Grunde in der ganzen Ambivalenz, die Macht ist stark auf der Seite der schwarzen Sonne, aber wir müssen diesen Ares ausschalten. Er ist der Mörder von Planeten. Er ist der Mörder von Planeten. Wie wogt der Kampf? Also du hast gerade so beschrieben, die scheinen ja beide schwer beschädigt zu sein.
3552030	3559310	hat im Moment eine Seite eine Übermacht.
