start	end	text
25870	50830	Ich mache mal weiter direkt. Ich heiße Marco, ich komme ursprünglich aus Berlin. Jetzt lebe ich in der Nähe von München. Wie Andreas schon gesagt hat, ihn hatte ich bei D&D Kassel kennengelernt, das stimmt schon. Ich spiele seit 1991 Rollenspieler, die ersten Jahre DSA und später dann verschiedenes und in letzter Zeit eigentlich hauptsächlich D&D 5e.
55870	64010	Studiert Historiker, aber ich arbeite in der IT-Branche und freue mich sehr, jetzt hier mitmachen zu dürfen.
65570	70370	Mein Charakter ist ein Arkanier und er ist ein Biochemist.
71390	76290	Und ich werde mir Mühe geben, ihn irgendwie akademisch wirken zu lassen.
77510	83790	Der kleine Haken ist, dass ich es hier auch mit Medizinern zu tun habe und mir fehlt da möglicherweise der Fachjargon.
378350	398130	Einziger hier, der nicht promoviert hat? Wahrscheinlich, ja. Bei mir gab es noch damals Magister und ich hatte überlegt, ob ich Promotion machen soll, aber ich hätte das nicht durchgehalten. Ich hatte irgendwie die Schnauze voll von der Uni.
398130	422330	Bitte? Achso. Ja. Ja. Und für den Prähistoriker vielleicht nochmal, also mein Vater war der Landesarchäologe von Berlin in der Westberliner Zeit bis 1990, Adrian von Müller.
422330	430430	und ist aber jetzt schon seit ein paar Jahren nicht mehr unter uns.
432430	437970	Er ist über 90 geworden, das war sehr schön und er ist in unserem Wohnzimmer gestorben,
438090	439390	das war alles nett.
439710	444370	Aber das war auch so ein bisschen das Erstgespräch, glaube ich, was ich mit Andreas hatte,
444370	447190	dass wir über die Archäologie gesprochen haben.
448750	468520	Aber gut, meiner Mutter geht es ganz gut.
468520	475840	wir haben heute gesprochen, sie ist jetzt in der Reha im Moment, also seit Dienstag ist sie in der
475840	482800	Reha und es wird sich sehr gut um sie gekümmert, aber sie hat nach dem Herzinfarkt Medikamente
482800	487420	bekommen, die anscheinend auch ihre Nieren geschädigt haben und das muss jetzt alles wieder
487420	496000	in den Griff bekommen werden. Meine Mutter ist auch Archäologin, aber auch längst nicht mehr, denn sie
496000	531060	ist jetzt inzwischen über 80. Dankeschön. Ich hatte Soziologie als Nebenfach. Da gab es dann
531060	544660	einen Kurs im Grundstudium, das nannte sich dann Soziologie für Nichtsoziologen. Und das gemeint
544660	549040	war eben für die Leute, die eben so ein Nebenfach machen und nicht Diplomsoziologen haben werden
549040	557440	wollen. Aber es war interessant. Ich habe da eine Arbeit geschrieben über die Spannungen zwischen
557440	564160	Ostberliner und Westberliner jugendlichen Fechtern nach der Wende. Denn ich war in einem Fechtclub
564160	576780	und es war ganz interessant, die unterschiedlichen sozialen Gegebenheiten da festzustellen. Also
576780	589680	Hauptsächlich Degenfechten. Ich war dreimal für deutsche Jugendmeisterschaften qualifiziert,
589680	597840	aber habe nur einmal teilgenommen, weil ich zweimal verletzt war. Das eine Mal,
597840	602180	dass ich teilgenommen habe, bin ich in der Vorrunde ausgeschieden. Ich war nie deutsche
602180	607580	Extraklasse irgendwie oder so, sondern gerade so gut genug, dass ich mich in Berlin über die
607580	613600	Landesliste habe qualifizieren können. Mein Bruder war sehr viel besser. Mein Bruder war fast bei
613600	626140	Olympia 2000. Ihm hat ein deutscher Rangnissenplatz gefehlt. Aber jedenfalls trotzdem, es war Leistungssport, aber meine Leistung war halt eher mittelmäßig.
626140	1718130	Ich höre auch Streicher. Bin ich im Moment noch im Hyperraum?
1754990	1758490	Da kurbelt man die Fensterscheiben hoch und hält an der roten Ampel nicht an.
1776330	1806940	Oha. CPT würde ich wahrscheinlich als Captain einschätzen.
1807500	1811940	Und ISB jagt mir einen Schauder den Rücken hinunter.
1826380	1871460	Computer bedeutet diese Kennung. Gut.
1872660	1902240	Dann, ja, dann, äh, ich glaube, ich möchte den Hilferuf-Folge lassen.
1902260	1922960	und mich nicht zu tief in irgendwelche geheimen Codes verstricken, wenn ich es vermeiden kann. Also weise ich den Computer an, auf die Nachricht zu antworten, dass ich zur Hilfe komme, dass ich mich nähere.
1922960	1924880	ich weiß nicht,
1925160	1928400	soll ich dafür einen Technologienwurf machen?
1928900	1955000	Ja, dann will ich den Kurs ändern.
1957500	1959140	Soll ich dafür einen Pilotingwurf machen?
1984420	1984980	Okay.
2063730	2065070	Also während die Brill jetzt
2065070	2066990	diesen geänderten Kurs
2066990	2068550	anfliegt,
2069090	2071730	möchte ich gerne in den
2071730	2073570	Aktiven des Computers
2073570	2075470	etwas über
2075470	2077450	den Planeten recherchieren,
2077750	2079390	auf den wir gerade zusteuern,
2079470	2081590	damit ich weiß, vielleicht eben
2081590	2083250	was uns da erwartet
2083250	2085290	landungsmäßig. Also zum Beispiel über
2085290	2087450	diese Basaltsteine weiß ich vielleicht nichts aus dem Kopf.
2113980	2114580	Das ist korrekt.
2115360	2115900	Ich habe
2115900	2118860	den, wie nennt sich das?
2126680	2127920	Potent Aptitude.
2130220	2130820	Genau.
2130820	2132180	Also das hier.
2134720	2156250	Ich glaube auch.
2156950	2158690	Aber was ich machen kann, ist,
2158690	2159970	ich habe eine Power.
2161330	2162490	Und diese Power
2162490	2164170	ist nämlich
2164170	2166610	Temporary Boost.
2172950	2173110	Okay.
2179980	2180180	Ja.
2181960	2182380	Und
2182380	2185000	genau.
2186580	2187960	Also, den
2187960	2190120	rolle ich jetzt mal manuell.
2191600	2194370	Okay.
2195590	2196050	Und
2196050	2197650	dann kommt jetzt
2197650	2199770	der, was war es, Piloting?
2199770	2201730	Nee, Lore hast du gesagt als erstes, ne?
2202030	2212140	Zählt immer der erste Wurf, haben wir gesagt.
2213240	2216080	Okay, aber dann auch plus zwei wegen dem D4.
2218260	2223550	Und der zweite Wurf war was nochmal?
2256320	2262340	Ja, also ich kann hier mein Biochemist-Kit verwenden.
2263400	2263660	Okay.
2265260	2266700	Und erstmal den D4.
2268120	2611040	Und jetzt weiß ich etwas über die Lichtverhältnisse da.
3000480	3001020	Und schön.
3001020	3091780	Ich habe ja keine Überwachung am Schiff.
3091780	3146960	Hattest du gesagt, keine Bewaffnung, ne? Okay. Also das heißt, ich werde dann den YT anweisen, er soll nach dem abgestürzten Schiff oder einer Rettungskapsel Ausschau halten, denn da werden ja hoffentlich irgendwelche Beacons aktiv sein.
3146960	3157040	und dann werde ich versuchen, tatsächlich möglichst auf Abstand von diesen Himmelsjägern zu bleiben beim Anflug.
3159740	3162100	Ja, das ist so die Taktik, nehme ich an.
3165390	3193080	Aha, okay. Das kann ich also einschätzen, dass das eine Raumschlacht ist.
3193080	3221560	ich glaube, das will ich machen, wenn ich dann
3221560	3223400	die Chance habe, dem
3223400	3225800	Gros der Schlacht zu entgehen,
3226420	3227760	die möglicherweise noch andauert.
3252560	3253820	Und jetzt bin ich nicht mehr im Baum.
3281010	3282070	Ja, also letzteres, ich will
3282070	3284150	früher raus, um mir
3284150	3285610	einen Überblick verschaffen zu können.
3286770	3288290	Und es hilft ja nichts,
3288290	3290070	wenn ich auch abschossen werde.
3290530	3292470	Also komme ich
3292470	3294410	lieber weiter weg raus und
3294410	3297570	bewerte dann die Lage neu.
3306210	3524730	Ich gebe mir wieder mal Guidance. Sozusagen. Geboostet, was man boosten kann. Piloting. Oh, der Slide muss hier vorgefallen sein. Computer, gibt es noch andere intakte Raumschiffe hier in der Gegend?
3524730	3600760	Ich weiß nicht, was hier passiert ist.
3663370	3720450	zu fliegen. Aber es gibt keine Möglichkeit, mit denen einen Funkkontakt aufzunehmen oder so, sondern das ist nur ein Beacon, der quasi in ein Signal ausstößt. Ja, ich versuche es mal. Diese Kennung, die da durchgegeben wurde mit Silber irgendwas, kann ich das einschätzen, ob das so eine Art Funkkennung ist oder eine Kommunikationskennung, die möglicherweise eine Verschlüsselung darstellt?
3733560	3735760	Yes, ich möchte das versuchen.
3740650	3743170	Darf ich mir da auch wieder einen Boost geben?
3745860	3751170	Okay, ich bin auch gespannt.
3767410	3768310	Und jetzt geht es weiter.
3769830	3808740	Ich möchte...
3808740	3820770	Ja, das Signal, das ich empfangen hatte,
3820770	3824570	hatte nicht gesagt Turbid oder so, ne?
3825530	3845110	Als doch? Okay.
3846890	3865540	Dann antworte ich da, Besatzung der Turbidextraktion beginnt im Anflug. Mehr sage ich nicht dazu.
3865540	6296640	Ja, also ich möchte versuchen, mit das Schiff in die Spalte reinzusteuern, mehr oder weniger an den Floating Dragons vorbei, diese tierhaften Wesen.
6296640	6300260	ich weiß nicht, ob ich da
6300260	6302160	so eine Art Schleichflug hinlegen kann.
6302880	6304420	Das würde ich vielleicht versuchen,
6304660	6306300	um deren Aufmerksamkeit
6306300	6307080	nicht zu erregen.
6308500	6310120	Falls sowas die
6310120	6311320	Maschinen nicht hergeben,
6312160	6314140	dann würde ich wahrscheinlich alternativ
6314140	6315500	eher auf Vollspeed gehen.
6332700	6333300	Fledermausartig.
6355530	6356090	Jetzt.
