start	end	text
22670	148300	Mindestens, mindestens, ja.
240060	266600	Ja, ich bin natürlich noch sehr jung. Ich sehe schon, wir haben wieder eine sehr akademische Runde. Ich bin Soziologe, arbeite aber inzwischen bei und für und mit der Polizei in Rheinland-Pfalz. Mich hat es irgendwie in den Hohnsrück verschlagen. So genau kann ich das auch nicht erklären.
266600	275520	Das ist jetzt einfach so. Und ich kenne wiederum den Fritze, weil unsere Söhne zusammen in den Kindergarten in Pleidelsheim gegangen sind.
275600	280800	Die sind nicht nur gemeinsam in den Kindergarten gegangen, die beiden waren die Kindergartengruppe.
280940	283960	Es war nur, es war eine sehr kleine Kindergartengruppe, es waren wirklich nur die beiden.
283960	298520	Ja, das war ganz spannend. Stimmt, stimmt.
307640	315200	Vielleicht waren auch wir komisch, das kann natürlich sein.
315700	385180	Könnte sein.
389240	426770	Sehr gut.
511710	512590	Diese Archäologen,
512790	514690	selbst als Soziologe habe ich jahrelang
514690	516650	mit Mittelalter-Archäologen an der Uni Trier
516650	517230	gearbeitet.
518450	520870	Mit denen kann man einfach was anfangen, muss man echt sagen.
530630	531810	Das war natürlich ein Fehler, es hätte
531810	532890	das Hauptfach sein müssen.
550730	570460	Ja, schön.
571720	572260	Sehr schön.
1023510	1023850	Ja.
1184060	1184680	Hat jemand
1184680	1187440	Blick auf die Sensoren? Können wir atmen
1187440	1394780	da draußen. Niedliches,
1394900	1395900	mitteleuropäisches Wetter.
1396640	1410320	Wie kämmen wir denn hier raus?
1410960	1412620	Ist der Ausgang oben?
1412960	1414180	Wo ist der bei dieser...
1414180	1417670	Die Frage ist ja...
1417670	1429120	Gut, nachdem ich gehört habe, dass
1429120	1431680	die Außenbedingungen
1431680	1432960	zwar unangenehm, aber
1432960	1435220	überlebensbar sind, ist mir alles
1435220	1436820	lieber, als hier drin zu bleiben,
1436940	1438240	in dieser Konstellation.
1439140	1441340	Das heißt, ich fasse mit der linken
1441340	1443440	Hand. Irgendwann so eine Notentriegelung
1443440	1444340	ist das wahrscheinlich.
1445240	1451240	klappt die um, sodass sich prinzipiell die Sicherung löst
1451240	1453960	und drücke die Tür nach außen.
1592600	3930490	Boah, erst mal umschauen.
3930990	3933750	Wo ist denn die Turbot genau? Wie weit kommen wir da hin zu Fuß?
4030540	4349420	Okay, ja. Nehme ich, nehme ich.
4684540	4685840	Also das wäre auch mein Ziel.
4685840	4688540	Während Galerikstut das macht, würde ich mir einfach mal angucken,
4688920	4691140	kann man zur Turbot irgendwie klettern?
4691140	4696700	Vor dem Hintergrund, wir haben dort medizinisches Material, das wir wahrscheinlich brauchen werden.
4697160	4699660	Und recht genau.
4759240	4760920	Na, klettern kannst du besser als ich.
4768370	4768570	Gut.
4770740	4770980	Gut.
4774620	4775300	Ich folge dir.
4843990	4844370	Genau.
5016900	5017580	Noch nicht?
5017680	5017820	Nee.
5027520	5028080	Jetzt, ja.
5028420	5028860	Oh, oh.
5100670	5101790	Alles schon weggenommen.
5249880	5252900	Ich vertraue ganz auf Komarus' Expertise.
5466730	5468730	Ja, wir teilen uns das selbstverständlich.
5468730	5471730	Ich nehme die ab, damit er...
5472530	5481340	durchziehen kann. Ja, ich habe gerade gesehen, ich habe meinen Charakter hier gar nicht drin.
5482920	5531370	Ich mache W20, genau. Oh, soweit noch. Haben wir denn noch KOM-Verbindungen zu Galrixto?
5531530	5535610	Oder ich weiß gar nicht, was wir an Ausrüstung in dem Moment hatten, als wir abgestürzt sind.
5586120	5594560	Ich funke mal zu Galrixto. Wie sieht es aus? Hast du zu Turbot Kontakt aufgenommen?
5595360	5596760	Wir kommen hier kaum weiter runter.
5597320	6353330	Ich sehe noch nichts.
6355910	6356470	Jetzt, ja.
6358390	6467650	Hören wir das alle?
6468250	6530620	Gut, dann werde ich natürlich schon vorher Kumaro Bescheid geben, was Pascal Rix uns gesagt hat.
6532120	6534360	Angeblich kommt Hilfe, wir sollen zurückklettern.
6544740	6546100	Ja, das gebe ich durch.
6719670	7014990	Sind wir denn schon wieder nach oben geklettert?
7014990	7032330	Also sobald wir das Signal von Galrixtor bekommen haben, dass Hilfe kommt und dass wir wieder hochklettern sollen, haben wir das auch gemacht.
7032470	7034250	Jetzt weiß ich nur nicht, wie viel Zeit dazwischen war.
7067260	7069840	Das soll Galrixtor ausfinden, würde ich auch sagen.
7083480	7292810	Ich glaube, ich versuche auch von dem Moschusgeruch wegzukommen.
7298630	7367530	Ja, stimmt. Und bleibt er hoffentlich.
7387260	7389880	Ich denke mir nur, gute Entscheidung, dass wir geklettert sind.
7738450	7740950	Du kannst mein erstmal unmodifiziert einfach so nehmen.
7741070	7743350	Ich muss die ganz genauen Werte mal gucken.
7744010	7747490	Weil ich Calum bisher ja nur als NSC hatte, habe ich das noch nicht.
7749010	7902600	Müsste zwei sein, genau. Sehr gut.
7922390	7927730	Ja, also ganz einfache Frage nochmal nach der Ausrüstung, die wir vorhin hatten.
7928170	7934370	Habe ich meine Vipro-Waffe bei mir oder war die in der Turbot und ist die gar nicht bei mir?
7934370	7943280	Dann ziehe ich genau diese Waffe jetzt, weil was hier gerade passiert, wir müssen verteidigungsfähig sein.
7944280	7946300	Ich glaube, viel mehr wird jetzt in dieser Runde nicht passieren.
8327140	8332260	Ich gebe unsere Position durch. Ich glaube, Komaro, du hörst das ja, glaube ich, gar nicht, oder?
8332360	8333460	Also ich habe ja den Kontakt.
8335360	8339540	Genau, also ich gebe die Position durch. Ich weiß jetzt nicht, wie weit das genau ist.
8373560	8375540	200 Meter auf 11 Uhr.
8453560	8454880	Ich gebe das natürlich weiter.
8466260	8467340	Wie ist denn...
8467340	8472580	Sprich.
8474040	8474840	Sprich du, Martin.
8479560	8480600	Fast so schnell wie du.
8500530	8500770	Genau.
8693320	8696320	Also ich versuche, in der zu kommen,
8696640	8700240	aber gerade hoch Dinge zu rennen,
8700300	8701300	ist nicht so ganz mein Ding.
8704770	8706790	Ich versuche mal, wie ich dranbleiben kann.
8711000	8730360	Das werde ich nutzen.
8730880	8739010	Okay.
8762900	8764160	Schild drunter, wir kommen.
8893230	9215740	Ach du Scharze. Sehr gut.
