start	end	text
2860	557670	Ich höre nichts. Wieso ich höre ich nichts? Ich bin als Spieler beigetreten eigentlich. Das ist ganz hoch gedreht. Ja, das habe ich auch alles eingestellt. Ich klicke mal auf Reconnect. Did you try turning it off and on again? Ich komme einfach nochmal neu ran. Ich höre immer noch nichts. Ist gemutet.
798850	800390	Sie hat uns gesagt, dass er noch lebt, ja.
800510	803430	Aber Kellum, du hast gerecht, das ist nicht unser Ziel,
803590	807910	sondern unser Ziel ist den Auftrag, den wir für Ganten ausfüllen.
808050	812990	Und deswegen ist unsere erste Priorität, dass wir Ganten stabilisieren.
813470	817270	Ich habe auch ein, dabei merkt er, während Garrixo das sagt,
817370	819870	wie sein Blick so ein bisschen abwesend trüb wird,
821090	823650	ein Interesse daran, diesen Tempel zu untersuchen.
824110	826530	Aber wir sollten uns zuerst um Ganten kümmern.
854810	855290	Nein.
856530	858950	Nein, wir werden nicht auf den Sternenzerstörer gehen.
859030	861890	Wir werden eine medizinische Lösung hier vor Ort finden müssen.
904620	909040	Hier gibt es eine Stadt, Klippenhorst, in der wir nach medizinischer Hilfe schauen können.
918200	919480	Was genau komplizierter?
1011240	1014560	Ich denke, wir können an einem Tag dort sein, wenn wir fliegen.
1029160	1032100	Ich weiß nicht, ob der Störsender so lange seinen Dienst tun wird.
1032620	1035960	Vor allen Dingen, weil wir ja auch auf unsere Sensoren selber angewiesen sind.
1078500	1079220	Also ich sehe es so.
1079220	1085900	entweder versuchen wir nach Clipmores zu fliegen und dort medizinische Ausrüstung zu finden,
1086120	1087900	um Gundon zu stabilisieren.
1088540	1091840	Oder wenn das nicht möglich ist, verlassen wir den Planeten
1091840	1095300	und erfüllen den Auftrag, für den Gundon uns bezahlt.
1096420	1099040	Und sehen zu, dass wir von hier wegkommen.
1113890	1117870	Ja, aber die Turbot ist noch nicht flugbereit,
1117870	1129510	aber es ist auch, gerade wenn ich dich richtig verstanden habe, nicht mehr viel Arbeit nötig, um sie zu reparieren, sodass man wieder mit ihr fliegen kann.
1149990	1159590	Galrixo guckt auf die Galaxiekarte und schaut, was da so als nächster bewohnter Planet in der Nähe ist.
1160770	1172840	Hier ist irgendwo eine Karte, oder? Hat Ganon uns das gesagt?
1425860	1426420	Welches Bild?
1430660	1431400	Jetzt sehe ich das.
1618430	1619030	23.
1637720	1726560	Das war reines Können.
2011780	2012580	Also, ja.
2020640	2023820	Karikso guckte ich mit seinen rot leuchtenden Augen
2023820	2025680	sehr eindringlich an.
2028020	2028380	Jawohl.
2031070	2034150	Kannst du garantieren, dass Skandin stabil bleibt,
2034310	2035330	wenn wir in diesen Tempel gehen?
2043000	2046140	Können wir ihn so versorgen, dass, wenn er hier in Ruhe bleibt,
2047360	2049120	seine Situation sich nicht verschlechtert?
2132370	2141590	Eure Behandlung ist ja nun auch schon ein paar Stunden her oder einen ganzen Tag. Wollt ihr ihn vielleicht nochmal untersuchen, ob seine Situation sich verändern wird?
2297140	2306980	Wie ich schon gesagt habe, ich werde nicht auf diesen Sternenzerstörer gehen, sondern ich werde für Ganzen eine bessere medizinische Möglichkeit suchen.
2306980	2476000	Ich denke, das ist ein Ratsvorschlag. Sehr gut, dass wir die Hilfe für Nero nutzen, um eine Geleitgarantie hier wegzubekommen.
2629640	2636220	So wie ich Captain Nero einschätze, gehört sie nicht zum ISB, sondern wird zur normalen Besatzung des Sternenzerstörers gehören.
2636220	2665900	Wie verletzt war die? Die hatte ja hauptsächlich diese Handverletzung oder also wenn die wieder wach wird und das einigermaßen okay ist, kann sie da mit uns reingehen oder ist sie weiter verletzt?
2680760	2694560	Das bezog sich also auch die Behandlung, wir haben sie ja schon behandelt, die Verwundung, die sie hatte, war nur die, aber also sie kann selber laufen und so.
2694560	2695400	und
2695400	2703290	also mein Vorschlag ist, wir
2703290	2707570	schauen uns diesen Tempel an, wir nehmen sie mit, wir warten nicht bis sie wach wird
2707570	2711410	sondern wir sehen einfach zu, dass wir vorankommen
2711410	2714250	wir müssen hier nicht länger als nötig bleiben
2714250	2740850	wir haben Koordinaten, genau, wir haben die Einsatzpläne
2740850	2744450	des Shuttles uns geholt und da stehen die Koordinaten bei
2744450	2770400	und sie hat vorgeschlagen, dass wir ihr helfen und sie hat uns Hilfe auf dem Standzustellung angeboten.
2777500	2779200	In Ordnung, dann lasst uns bereit machen.
2786360	2791920	Mein Vorschlag ist, dass wir sie wecken, wenn wir am Tempel sind, bevor wir losgehen.
2800130	2804570	Ich würde erwarten, dass wir da mit der Brill hinfliegen können, wenn der ein Kilometer weiter ist.
2804570	2844280	die Brill jetzt
2844280	2846820	nach dem Flug dann an der Turbot
2846820	2848120	gelandet.
2848640	2865410	Also wie gesagt, mein Vorschlag ist, mit der
2865410	2867750	Brill so weit wie möglich zum Tempel zu fliegen
2867750	2869430	und dann gehen wir
2869430	2870350	drei
2870350	2873090	in den Tempel. Kumaro
2873090	2875550	kommt auch mit und hilft uns die
2875550	2876610	Captain Nero zu
2876610	2879590	dort
2879590	2880230	hinzukriegen
2880230	2883190	und dann, weiß ich nicht, vielleicht passt er
2883190	2885210	erstmal auf Captain Nero auf.
2886090	2888430	Und wir schauen dann im Tempel, wie wir weitermachen.
2909360	2910580	Nicht, dass sie die zweite Hand auch noch
2910580	2915620	verliert.
2917420	2918520	Die kann eine Rüstung
2918520	2919300	noch kriegen, ne?
2920920	2932440	Wenn wir noch was...
2932440	3004720	Also ich hab so ein
3004720	3006380	Ding, deswegen hab ich das gleich
3006380	3007780	mitgenommen, aber jetzt nicht unbedingt
3007780	3010440	mit dem Hintergrund, dass ich
3010440	3027200	das...
3027200	3033470	Also ich hab so ein Teil schon.
3034310	3035250	Ich bin damit schon
3035250	3037210	ausgerüstet. Ich hab eine Light Pistol und
3037210	3056600	Navy Pistol. Aber ich kann
3056600	3060820	sie natürlich einfach mit einem Holster mitnehmen,
3060900	3063280	dass ich dann zwei davon mithabe und dann
3063280	3083850	E11 Blaster Rifle.
3105160	3170810	Wir haben uns vorher ausgerüstet. Wir haben auch
3170810	3175490	unsere Raumanzüge oder zumindest irgendwie Gasmasken oder so
3175490	3179550	mitgenommen, dass wenn da sich wieder Kohlenstoffmonoxid-Senken
3179550	3181430	bilden oder so, dass wir dann da auch durchkommen.
3183110	3183610	Genau, und dann
3183610	3185870	wenn wir die Brill landen,
3186190	3187590	dann würden wir die Nero
3187590	3189270	wecken, dass sie
3189270	3190830	kurze Zeit hat, sich
3190830	3193950	zu sich zu kommen und die wird
3193950	3195830	ja sicherlich von dem Schmerzmittel noch ein bisschen
3195830	3197730	benommen sein und dann genau erklären wir ihr
3197730	3199610	den Plan und steigen aus.
3199870	3201830	Wir vier mit Komaru und
3201830	3203510	Gex bleibt bei Vanira
3203510	3207020	und Ganzen und
3207020	3235320	die könnt ihr haben.
3253260	3254420	Du hast sie doch operiert, oder?
3254920	3316970	Ich zeige auf Komaro.
3364660	3380920	13. Thanks, Captain.
3381020	3437550	Obvious. Eight of Hand.
3475570	3475870	Toll.
3476130	3476990	Für so einen Wurf
3476990	3480130	hätte ich ganz ins Glück aufgebraucht für die Runde.
3480370	3480630	Mann.
